,Address,dublinRegionString,Bedroom,Bathroom,PropertyType,originalPrice,Price,Description
13,"66 Blessington Street, Dublin 7, Phibsborough, Dublin 7",7,0,0,Studio,"€1,300 per month",1300,"Available from 1st December 2022

STUDIO consists of:

Bright modern, fully furnished studio apartment in period Georgian building, 

- 5 mins walk to the RED LUAS line 
- just 8 mins walk from O'CONNELL STREET.  
- GAS CENTRAL HEATING, INCLUDED IN THE RENT.
- accommodates 1 or 2 

Open plan living/dining/sleeping area with fully fitted kitchen; Electric Oven, ceramic hob cooker, electric extractor,  stainless steel microwave.  Washing &amp; drying machine in separate shared laundry room; costs included in the rent.
Kitchen crockery, cutlery, pots &amp; pans etc. provided!

Comfortable living area: Quality sofa-bed converts to comfortable double bed. Wooden flooring; TV provided.

LOW OUTGOINGS:  Gas Central Heating and Laundry costs INCLUDED IN THE RENT. 
Super convenient city centre location; walking distance to the north and south city centres, Oââââââââââââââââââââââââââ‚¬Å¡¬Å¡¬Å¡¬Å¡¬Å¡¬Å¡¬Å¡¬Å¡¬Å¡¬Å¡¬Å¡¬Å¡¬âââââââââââââââââââââââââ‚¬Å¡¬Å¡¬Å¡¬Å¡¬Å¡¬Å¡¬Å¡¬Å¡¬Å¡¬Å¡¬Å¡¬Å¾¢Connell St, Henry St, Jervis Centre &amp;  Grafton St shopping areas, Temple Bar &amp; St Stevens Green, all within easy walking distance.  Ideal city centre location for study/work/social amenities. 

Study, Trinity, DIT Cathal Brugha St and Bolton St Colleges, are all within easy walking distance. 

Work:  Mater Hospital and Nursing Training &amp; Temple St  hospitals and Town Centre are on your doorstep.
Convenient transport links; 8 minutes walk to new LUAS extension at Domnick St (RED LINE) and numerous cross-city   BUS  services within a few mins walk."
14,"Forest Hills, Rathcoole, Co. Dublin",Other,1 ,1 ,Apartment,"€1,300 per month",1300,"**RAY COOKE LETTINGS €"" PLEASE FOLLOW US ON FACEBOOK AND INSTAGRAM AS PROPERTIES ARE ADVERTISED THERE FIRST- VIDEO VIEWINGS AVAILABLE ON REQUEST**

*** LUXURY FLAT *** FIRST TIME LETTING *** AVAILABLE NOW

Ray Cooke Lettings are delighted to present this bright &amp; spacious one bedroom granny flat  to the market in the ever popular and extremely sought after location of Forest Hills, Rathcoole.  
The truly stunning mature development is set in the heart of Rathcoole Village and a stones throw from the M50 and N7 road networks. Dublin City centre is only a short drive or quick hop on the close by Luas at saggart. The flat is very well laid out with well-proportioned rooms and is superbly maintained by its current owner. Location is ideal being close to every conceivable amenity including schools, shops, bars and restaurants, parks, sports and leisure facilities, public transport and walking distance of Rathcoole Village, Rathcoole Park, a host of schools both primary and secondary a well as  the Luas stop at saggart. 
Bright and spacious accommodation comprises of lounge, kitchen, one double bedroom, and main family bathroom. Viewing is highly recommended!

Key Features: 

- Fully fitted modern kitchen 
- Large double bedroom 
- First time letting 
- Secure parking 
- Available Now
- Location Location Location 
- Large lounge area
- Short walk to Rathcoole Village


**RAY COOKE LETTINGS - EMAIL ENQUIRIES ONLY/NO PHONE CALLS PLEASE- FILL IN YOUR CONTACT INFORMATION ON THE RIGHT HANDSIDE AND CLICK SEND MESSAGE - WE WILL CONTACT YOU WITH VIEWING DETAILS WHEN THEY ARISE**"
15,"Beverton Court, Donabate, Co. Dublin",Other,1 ,1 ,Apartment,"€1,300 per month",1300,"***RAY COOKE LETTINGS *** PLEASE FOLLOW US ON FACEBOOK AND INSTAGRAM AS PROPERTIES ARE ADVERTISED THERE FIRST- VIDEO VIEWINGS AVAILABLE ON REQUEST**

***LARGE SPACIOUS ONE BEDROOM APARTMENT******GROUND FLOOR*******QUITE DEVELOPMENT********AVAILABLE NOW!!

RAY COOKE LETTINGS are delighted to present this SUPERB One bedroom apartment to the lettings market in the heart of Donabate Village.

This One bedroom apartment offers bright and spacious accommodation and comprises of an entrance hall, fully fitted kitchen, Double bedroom, a large living area/dining area and main bathroom. The property is situated within this well presented development of Beverton Court, and only minutes from the M1 Motorway.

The property boasts the ideal coastal village location &amp; setting within easy commuting distance of Dublin City Centre. Close to all local amenities shops, schools, restaurants, beaches, mainline Bus Eireann service to the City Centre from the village and within walking distance to the excellent suburban rail service provides a 30 minute run from Donabate Village.

Additional Features:

- Stunning condition throughout
- Spacious Double bedroom with fitted wardrobes
- Spacious Apartment with plenty of open space and storage
- Parking available
- Donabate train station on your doorstep
- Lovely seaside town
- Fully fitted kitchen
- Double glazed windows
- Highly sought after location
- Quite Development
- Available now

**FILL IN YOUR INFORMATION &amp; CLICK EMAIL ADVERTISER ON THE RIGHT HAND SIDE OF THE ADVERTISEMENT €"" WE WILL CONTACT YOU BY PHONE OR EMAIL WITH VIEWING DETAILS WHEN THEY ARISE**"
16,"North Circular Road, Dublin 7",7,1 ,1 ,Apartment,"€1,305 per month",1305,"Located on the Phoenix Parks doorstep, this ground floor one apartment is available immediately.Offering a comfortable modern living space within a period property, the accommodation is a must see. The location is second to none -well served with access to all city centre locations and beyond plus a variety of restaurants, eateries and supermarkets all on your doorstep. Other valuable services in the location include a short walking distance to Phoenix Park, the Luas &amp; the new Grangegorman campus. Domestic waste collection is also included without any additional charge. Viewing recommended.  ***Please email with full details to arrange a viewing.****"
17,"2A, 72 Drumcondra Road Lower",Other,1 ,1 ,Apartment,"€1,319 per month",1319,"Follow us on Instagram @doran_estates to see our new listings first! **EMAIL ENQUIRIES ONLY/NO PHONE CALLS** 

Doran Estates are delighted to bring this beautiful unit to the market situated in an excellent location this is not one to be missed .  These apartments are currently unfurnished but can be furnished to requirement of each tenant. Each unit is complete with wooden floors, tiled bathroom throughout, &amp; a fully fitted kitchen. Please note that the washer dryer facilities are communal and a pay as you go bases. There is no car parking facility with the units.

The area is well serviced by excellent public transport links (bus, Luas) to Dublin Airport and Dublin City centre. The location is all that one could wish for - a short stroll will bring you to the National Botanic Gardens, Drumcondra, Phibsborough and the Dublin City University with its beautiful Albert College Park. All the amenities that Glasnevin Village has to offer are on the doorstep. There is an abundance of national and secondary schools and DCU nearby. Also convenient for the Bon Secours Hospital, Beaumont Hospital and The Mater Hospital.

Please note that we give preference to applications via our website https://doranestates.ie/ and that enquiries are email only, NO PHONE CALLS will be accepted. Due to the high volume of interest, it might not be possible to respond to every application for this advertisement. We're currently experiencing an unprecedented volume of enquiries and we advise you that viewings are available on a limited, first come, first serve basis, and tend to fill up quickly. Apologies for any inconvenience this may cause."
18,"2 Bedroom Apartment, Number 1 Ballsbridge, Shelbourne Road, Dublin 4",4,2 ,3 ,Apartment,"€4,000 per month",4000,"WWW.NUMBER1RESIDENCES.COM

The Premium Collection - 2 Beds

By Far the most prestigious and best rental accommodation ever offered to the Dublin Market.

The Residences are located in Irelands premium mixed use development, Number One Ballsbridge, in the heart of Ireland's embassy belt and its pre-eminent residential location.

These stunning spacious 2 and 3 bed apartments average 1,350 sq. ft. - are fully fitted and furnished with the highest quality fixtures and fittings and set new standards in apartment rental living in the Dublin market.


With over 50,000 sq. ft. of space dedicated to amenity and leisure uses -ranging from the onsite destination spa, health and fitness club, concierge service, dedicated business centre, orangarie and spectacular roof terrace, Number One Ballsbridge provides onsite amenities that are unmatched in the Dublin market and commensurate with some of the worlds best residential developments.

The Premium Collection:

Averaging 1,350 sq. ft. The Premium Collection comprises 70 number 2 and 3 bed apartments fitted to the highest standards in rental living.

All apartments are dual aspect benefitting from street and internal courtyard views and provide bright and spacious residences with bespoke fully integrated kitchens, ensuite bedrooms and ample storage
.


**** VISIT OUR WEBSITE WWW.NUMBER1RESIDENCES.COM TO REQUEST A VIEWING TODAY ****


Prices starting from €4000"
19,"Apartment 704, Longboat Quay North Apartments, Sir, Grand Canal Dock, Dublin 2",2,2 ,2 ,Apartment,"€3,950 per month",3950,"705 Longboat Quay North is a charming 2 bedroom apartment located in the heart of Grand Canal Dock between the canal and the River Liffey. Recently renovated this apartment offers a very spacious open plan living/dining area and a balcony with extraordinary views. The open plan living area has a wide screen TV. There are two double bedrooms with one being the master suite. There is generous office desk space throughout the apartment.

The area is Dublins most sought after area with the Bord Gais Energy Theatre, Brew Dog Bar, the Marker Hotel and many other attractions all on the door step. The Dart is a 5 minute walk away and the offices of Meta (Facebook), Google, Stripe etc are all on the doorstep. 

The apartment is extremely comfortable and ready for immediate letting. Please email to arrange your private viewing."
20,"Rathvilly Drive, Finglas, Dublin 11",11,4 ,2 ,House,"€3,500 per month",3500,"EMAIL ENQUIRIES ONLY. PLEASE DO NOT CALL OUR OFFICE.

Arkcon Lettings are thrilled to present this newly renovated, four bedroom house to Dublin 11's rental market. Having gone through extensive renovations, this charming home will be sure to attract plenty of interest. 
Upon entry, you are welcomed to a bright porch. The first room is the first of the four bedrooms, which features two single beds and adequate wardrobe space. Leading on through the hallway, you are met with the spacious kitchen living area. The kitchen has been fully fit with all mod cons including a washer dryer. Past the kitchen is the first of the two bathrooms with both feature an electric shower. The back garden is spacious and provides an outdoor area for tenants. Upstairs contains the remaining three bedrooms. Two of which have double beds with the other containing a single. The upstairs bathroom benefits from a bath tub. 
There is car parking space available to the front of the property. 

There are a number of amenities in the area including Connolly Hospital and the National Orthopaedic Hospital Cappagh, several established primary and secondary schools, shops, restaurants, and bars. The area is well catered for by public transportation with the Broombridge Luas stop just 8 minutes away and several bus stops on the Ratoath Road. Phoenix Park and Dublin Zoo are a 15-minute drive away. The M50 is just an 11-minute drive from the property.

Bills are not included in the rental agreement. References are required for all tenants. Available for immediate move in."
21,"Apartment 17, Saint Jamess Court, Dublin 8",8,2 ,1 ,Apartment,"€2,500 per month",2500,"Please note applicants will not be accepted over the phone, all must apply through the link below. Applications that are not made through our website will not be processed.

https://iliv.ie/residentialprop/apartment-17-saint-jamess-court-echlin-street-dublin-8/


iLiv Property are delighted to present Apartment 17, Saint James Court a bright two bedroom apartment located in a modern City Centre block with excellent transport links nearby.

This magnificent one bed property has been finished to the highest standard throughout which briefly comprises of an entrance hallway, open-plan living/dining area, fully fitted kitchen, two double bedrooms and a large bathroom. Fitted with modern kitchen units, furniture and appliances every modern comfort is catered for. High quality bathroom fixtures, a spacious double bedroom with ample fitted wardrobes and storage. The exquisite finish and immaculate presentation of this two bed will catch many a discerning eye. Number 17 is a stylish and modern living space, brimming with style and comfort throughout.

Although it is only a short distance from the city centre, The Liberties is its own distinctive city neighbourhood with its own special character. The population is dynamic and increasingly international. The liberties have a number of great parks and amenity areas. From beautiful historic garden parks such at St Patrick Cathedral and St Audoen Park, to inviting new play spaces such as the award-winning Weaver Park on Cork Street.




Features

Kitchen

Large counter space with bespoke breakfast bar &amp; two rustic style stools
High grade Neff microwave, oven and hobs
Hotpoint washing machine/dryer, fridge/freezer and dishwasher
Nespresso coffee machine
De€TMonghi toaster &amp; kettle
Venetian blinds

Livingroom

Modern style corner couch
Rustic style coffee table
Venetian blinds

Bathroom

3 bar booster power shower with 300 litres of hot water readily available
Heated towel rails
Dual flush toilet
Large vanity basin

Bedroom

Fabric headboard and matching fabric base with Respa handmade mattress
Bespoke built-in wardrobes with two bedside lockers for ample storage space
Black-out roller blinds"
22,"40 Castlewood Avenue, Dublin 6",6,2 ,1 ,Apartment,"€4,100 per month",4100,"Newly built a corporate let type 2 bedroom apartment with beautiful view in centre of Rathmines. 

All amenities are just few steps away, public transport will get you to majority of city hubs, Luas is 10 minutes away.

Flat is newly built with amazing insulation, solar panel connected, incredibly bright and spacious, cable ready and alarmed. 

Contact me for more info and if you wish to schedule viewing"
23,"Apartment 80, Poplar, Trimbleston, Goatstown Road, Dublin 14",14,2 ,2 ,Apartment,"€2,750 per month",2750,"80 Poplar is a spacious two bedroom apartment in the heart of Goatstown. 

The apartment consists of an en-suite master bedroom with built in wardbrobes, a large living area with a modern kitchen, solid granite worktops and built in appliances including a dishwasher and washer/dryer. 

The sitting room leads out onto a private balcony which can also be accessed from the master bedroom. There's also a second bedroom with built in wardbrobes and a main bathroom off the hall.

It is fully furnished and finished to a high standard with solid wood flooring throughout. 

It also comes with an underground car parking space and there is amble guest and additional parking available. 

It's a Sorohan Built Development, known for its high end quality. Trimbleston has been beautifully maintained over the years with plenty of green areas and yet it's just over five miles from the city centre.

Lynam's convenience store and Sam's coffee shop are just around the corner, while the Goat Bar and Restaurant is a short walk away. 

The 11 bus passes outside the complex and goes to the local village of Ranelagh and into the city centre, while the Dundrum Luas stop is less than a 15 minute walk away, as is Dundrum Town Centre."
24,"7 Birch Dale, Westminster Park, Dublin 18, Dublin 18",18,4 ,3 ,House,"€4,000 per month",4000,"Situated just off the N.11, the property is extremely well served by public transport with the QBC and various bus routes including 46a, 145 and 86 to name but a few as well as within easy access to the Luas. 
The property is also well served by local shops with Deansgrange and Cornelscourt all within a short drive and a multitude of well know schools, Loreto College Foxrock, St Brigids Boys and Girls National schools are also all close by."
25,"Apartment 10, The Pine, Trimbleston, Goatstown Roa, Dublin 14",14,2 ,2 ,Apartment,"€2,750 per month",2750,"Bright, spacious and furnished two bedroom apartment available immediately.  

Finished to a high standard throughout with main bathroom off entrance hall, fully tiled with bath and shower over, cloak room/ hot press, large open plan kitchen/ dining living room with large West Facing window and West Facing balcony off, two double bedrooms with built in wardrobes, master en-suite ( shower)  and access to balcony from master bedroom.

There is wood flooring throughout the apartment. The main living room has an electric  fireplace for ambience and patio door on to the West facing balcony which can also be accessed off the Master Bedroom. The kitchen is finished to a high standard with solid granite worktops, built in Neff appliances including a dishwasher and Washer/ Dryer. There is also one designated parking space and ample guest and additional parking at the development. 

Trimbleston is the perfect address to experience living beside the city. Trimbleston is located off the Goatstown Road in between The Goat Grill and Roebuck Road. It is a short stroll from UCD and is easy accessible to the M50 and N11 from this location.

Only 7 minutes drive from Ranelagh and 15 minutes from countless city centre amenities and with Mount Merrion and Dundrum within walking distance you'll find a large selection of restaurants, pubs, cafÃ©s &amp; local boutique shops. 

Trimbleston is a Sorohan Built Development, Developers renowned for their build quality and high end finish. The Development has been meticulously maintained over the years with mature shrubbery, open green area, trees and water features."
26,"Marianella, Orwell Road, Rathgar, Dublin 6",6,1 ,1 ,Apartment,"€2,500 per month",2500,"Very large one and a half bedroom apartment (Note single room is converted to a home office) in the prestigious Marianella development. Marianella development contains a private clubhouse, cinema room, gymnasium and sauna/steam room together with concierge facilities.

The apartment is located at the back corner of the block and is dual aspect as a result. It is exceptionally bright with a very large wrap-around balcony.

The bedroom contains luxury solid wood furniture and built-in floor to ceiling closets. The living room contains a high end suite of furniture and solid wood table and chairs. The kitchen is fully fitted with Miele appliances and finished to a high standard with solid worktops. The apartment features a ventilation system and 
underfloor heating throughout.

The property is available from 8th Dec and viewing is highly recommended."
27,"55 Percy Place, Ballsbridge, Dublin 4",4,2 ,2 ,Apartment,"€4,500 per month",4500,"Stunning luxury apartment within this award winning development in Dublin 4

Designed by OSOD Architects the development won the prestigious RIAI silver medal for housing

Two spacious double bedrooms - two bathrooms, one ensuite

Only Apartment in Development with Private garden 

Balcony spanning the width of the apartment with uninterrupted views of canal

Finished to perfection with custom made furniture 
 
One secure designated car space with lift to the apartment

Exceptionally high level of service provided by the management company

Development is kept in pristine condition

Recessed LED lighting

BER A3

Energy efficient gas fired underfloor heating"
28,"8 Fernleigh Park, Dublin 15, Dublin 15",15,3 ,3 ,House,"€2,800 per month",2800,"Immaculate three bedroom semi-detached house, located in the ever popular suburb of Castleknock, Dublin 15 (photos taken November 2022). 

Situated in a quiet cul de sac in Carpenterstown, this house is fully furnished, including kitchen, a spacious living room, three bathrooms (incl. one ensuite) and a garden. Bedrooms include ample wardrobe space. Furnishing includes two doubles and one single bed, all furniture, three flat screen TVs, and kitchen equipment (microwave, oven, fridge, crockery and cutlery). High speed wifi and cable TV can be easily set up, but at the tenant's own expense.

Carpenterstown is close to many amenities, including shops, schools, a children's playground and is only a short drive from the Blanchardstown Centre (which includes many restaurants, cinema, a leisureplex, retail shops etc.). The nearby 37 bus route and Clonsilla train station provide easy access to Dublin City Centre in circa thirty minutes. The Castleknock Golf and Country Club, Tennis Club and Phoenix Park offer great outdoor options nearby.

Viewings are currently taking place. A video of the property is available to shortlisted tenants upon request."
29,"Sorrento Road, Dalkey, Co. Dublin",Other,2 ,1 ,House,"€2,495 per month",2495,"South Facing 2bed.Private Only 1 min to Dart  Dalkey Village Bars/Restaurants.2min to Sea at Coliemore/Dalkey Island,Parks  Walks.Wood floors/Ceilings/Skylights.Glows in Summer Cosy  Bright in Winter.Jet Bath/Power Shower.Sunny Patio Garden,2 Storage areas."
30,"Rockfort Avenue, Dalkey, Co. Dublin",Other,1 ,1 ,Apartment,"€1,995 per month",1995,"Sunny South facing. with patio  3 Mins to Dart rail, 2 Mins to Dalkey village Shops Bars and Restaurants. Beside sea at Coliemore Harbour and Dalkey Island."
31,"Mountjoy Square East, Dublin 1",1,1 ,1 ,Apartment,"€1,570 per month",1570,"EMAIL ENQUIRIES ONLY. PLEASE DO NOT CALL OUR OFFICE. THANK YOU.

Arkcon Letting are thrilled to present this top floor, one bedroom apartment to Dublin City Centre's rental market. The apartment consists of an entrance hallway, bedroom, kitchen living and a bathroom. Tenants benefit from free wi fi and bins collection. 

Located on Mountjoy Square East, this apartment is ideally situated. Mountjoy park is directly facing the building. There is an abundance of amenities including shopping centres, supermarkets, gyms, coffee shops and more all within walking distance. Public transport in the area is some of the country's best, with luas lines and bus routes servicing the locals well. 

Please email your enquiry. References are required. Available immediately."
32,"Merrion Street, Dublin 2",2,2 ,2 ,Apartment,"€8,670 per month",8670,"Bergins are delighted to present this residential apartment, in the Merrion Suites, Merrion Hotel. Continuing our commitment to a new standard in residential lettings, this elegant suite is unique in its class in Dublin. 

Located in the Five Star Merrion Hotel, this privately owned suite is presented in the most beautiful order and are available for rent from 16th September 2022. 

Tenants will have access to the extensive leisure facilities within the hotel, to include gym, swimming pool etc. 

With over 180 sq meters of accommodation, this apartment has been furnished and decorated by Simone Stephenson with contemporary finishes and high end design features. 

Accommodation includes:

Living dining room - the suite has a very large living room with spacious dining area, feature floor to ceiling windows and terrace overlooking the recently upgraded gardens of the Merrion Hotel. 

Kitchen - exceptionally well appointed with integrated appliances, high and low level fitted units, fully stocked with Reidel glassware and crockery and cutlery, cookware etc. 

Master Suite with extensive fitted wardrobes, full bathroom including WC, Vanity wash hand basin, bath and separate shower. 

Bedroom two is a second double bedroom with fitted wardrobes etc. 

The apartment has climate control, air handling systems, sound insulated glazing, TV and Sound system.

Rent quoted for 12 month lease minimum."
