,Description,AddressLabel,Address
20,only please do not call our office present newly four bedroom house rental market gone extensive charming home sure attract plenty interest upon entry bright porch the first room first four two single adequate wardrobe space leading hallway met spacious kitchen living area the kitchen fully fit washer past kitchen first two feature electric shower the back garden spacious outdoor area upstairs three two double single the upstairs bathroom bath tub there car parking space available front property there number area hospital national hospital several established primary secondary the area well public transportation stop away several bus road phoenix park zoo minute drive away the m minute drive property included rental agreement available immediate move,11,"Rathvilly Drive, Finglas, Dublin 11"
21,please note accepted phone must apply link made property delighted present apartment saint court bright two bedroom apartment modern city block excellent transport link nearby magnificent one bed property finished highest standard throughout briefly entrance hallway area fully fitted kitchen two double large bathroom fitted modern kitchen furniture every modern comfort high quality bathroom spacious double bedroom ample fitted storage the exquisite finish immaculate presentation two bed catch many discerning eye number stylish modern living space brimming style comfort throughout although short distance city the distinctive city special character the population dynamic increasingly international the number great amenity from beautiful historic garden st cathedral st park inviting new play weaver park cork street kitchen large counter space bespoke breakfast bar two rustic style high grade microwave oven washing dishwasher coffee machine toaster kettle modern style corner couch rustic style coffee table bathroom bar booster power shower hot water readily available towel dual flush toilet large vanity basin bedroom fabric headboard matching fabric base handmade mattress bespoke two bedside ample storage space blackout roller,8,"Apartment 17, Saint Jamess Court, Dublin 8"
22,newly built corporate let type bedroom apartment beautiful view all away public transport get majority city away flat newly built amazing insulation solar panel connected incredibly bright spacious cable ready alarmed contact wish schedule,6,"40 Castlewood Avenue, Dublin 6"
23,poplar spacious two bedroom apartment heart the apartment master bedroom built large living area modern kitchen solid granite built dishwasher the sitting room onto private balcony also master bedroom there also second bedroom built main bathroom hall it fully furnished finished high standard solid wood flooring throughout it also come underground car parking space amble guest additional parking available it built development known high end quality beautifully plenty green yet five city convenience store coffee shop around corner goat bar restaurant short walk away the bus outside complex go local village city stop le minute walk away town,14,"Apartment 80, Poplar, Trimbleston, Goatstown Road, Dublin 14"
24,situated n property extremely well public transport various bus name well within easy access the property also well local within short drive multitude well know college st national also close,18,"7 Birch Dale, Westminster Park, Dublin 18, Dublin 18"
25,bright spacious furnished two bedroom apartment available immediately finished high standard throughout main bathroom entrance hall fully tiled bath shower cloak room hot press large open plan kitchen dining living room large west facing window west facing balcony two double built master shower access balcony master bedroom there wood flooring throughout apartment the main living room electric fireplace ambience patio door west facing balcony also master bedroom the kitchen finished high standard solid granite built dishwasher washer there also one parking space ample guest additional parking development perfect address experience living beside city road the goat grill roebuck road it short stroll easy accessible m n location only drive countless city mount within walking distance find large selection local built development renowned build quality high end finish the development meticulously mature shrubbery open green area water,14,"Apartment 10, The Pine, Trimbleston, Goatstown Roa, Dublin 14"
26,very large one half bedroom apartment note single room converted home office prestigious development development private clubhouse cinema room gymnasium room together concierge the apartment back corner block dual aspect result it exceptionally bright large balcony the bedroom luxury solid wood furniture floor ceiling the living room high end suite furniture solid wood table the kitchen fully fitted finished high standard solid the apartment ventilation system underfloor heating throughout the property available th highly,6,"Marianella, Orwell Road, Rathgar, Dublin 6"
27,stunning luxury apartment within award winning development designed development prestigious silver medal housing two spacious double two one only apartment development private garden balcony width apartment uninterrupted canal finished perfection custom made furniture one secure car space lift apartment exceptionally high level service provided management company development kept pristine condition led lighting ber a energy efficient gas fired underfloor heating,4,"55 Percy Place, Ballsbridge, Dublin 4"
28,immaculate three bedroom semidetached house ever popular suburb taken situated quiet de sac house fully furnished kitchen spacious living room three one garden include ample wardrobe space furnishing two one single bed furniture three flat screen kitchen equipment microwave oven crockery cutlery high speed cable easily set expense close many playground short drive many cinema retail the nearby bus route train station provide easy access city circa thirty the golf country club tennis club phoenix park offer great outdoor nearby currently taking place a video property available upon request,15,"8 Fernleigh Park, Dublin 15, Dublin 15"
29,south facing only min dart village sea summer cosy bright patio garden storage,0,"Sorrento Road, Dalkey, Co. Dublin"
30,sunny south facing patio dart rail village beside sea harbour island,0,"Rockfort Avenue, Dalkey, Co. Dublin"
31,only please do not call our office thank you present top floor one bedroom apartment city rental market the apartment entrance hallway bedroom kitchen living bathroom benefit free wi fi collection square east apartment ideally situated park directly facing building there abundance shopping coffee within walking distance public transport area best bus well please enquiry available immediately,1,"Mountjoy Square East, Dublin 1"
32,delighted present residential apartment hotel commitment new standard residential elegant suite unique class five star hotel privately suite beautiful order available rent th access extensive leisure within hotel include gym swimming pool with accommodation apartment furnished decorated contemporary high end design accommodation living dining room suite large living room spacious dining area feature floor ceiling terrace recently hotel kitchen exceptionally well high low level fitted fully glassware crockery cutlery master suite extensive fitted full bathroom vanity wash hand basin bath separate shower bedroom two second double bedroom fitted the apartment climate control air handling sound insulated glazing sound system rent month lease minimum,2,"Merrion Street, Dublin 2"
33,the exciting prestigious new development superbly square new urban mixed use development street grand canal street the development perfectly living alongside leading social renowned group development convenience city living also offering superb mountain canal city set around stunning public plaza array retail space supermarket every convenience doorstep number is impeccably designed light filled a rated three bedroom corner apartment prestigious development the exciting new development square new urban mixed use development set street development perfectly living alongside leading social beautiful bedroom apartment exceptional space benefit additional office area entrance hall large dual aspect lounge access large balcony central plaza there also benefit excellent office space extra space there high spec kitchen lounge ceiling floor storage include dishwasher oven microwave full size there benefit large utility area kitchen excellent built storage separate washing machine there three spacious double entrance hall excellent storage space large master main bathroom all complete rain large double size shower there wood flooring throughout apartment attractive property a rated would make truly comfortable convenient home prime location within walking distance every imaginable convenience location the luxurious development set throw retail district dining st green street alike nearby walking distance away the area abundance public transport minute walk away well several bus right outside doorstep private car rental company go car city adjacent square square several idyllic walking south popular city st green well nearby canal walk one minute walk away plaza outdoor playground exercise equipment bike pristine the finer all fitted highest standard impeccable design detail finish bespoke floor ceiling quartz floor ceiling throughout light separate spacious utility separate washing machine built shelving luxurious finished sanitary ware towel high spec lighting these complete winter garden separate living space ideal office space flooring throughout sleek light grey wood flooring excellent floor ceiling high throughout unit key of the development living space set around new central square retail space outdoor exercise equipment outdoor playground all finished highest specification most winter ideal office space exceptional city exceptionally generous storage throughout bespoke fitted floor ceiling storage quartz luxurious sanitary ware towel tenant concierge management suite parcel collection basement storage future car service future future supermarket dry cleaning service housekeeping service resident ber ber a,2,"Apartment 9, Lock House 2, Charlemont Lane, Dublin 2"
34,the exciting prestigious new development superbly square new urban mixed use development street grand canal street the development perfectly living alongside leading social renowned group development convenience city living also offering superb mountain canal city set around stunning public plaza array retail space supermarket every convenience doorstep property stunning two bedroom first floor apartment set prestigious new development two bedroom unusually spacious offering c bright high spec accommodation accommodation large well proportioned lounge area floor ceiling access winter garden balcony area the large high spec kitchen lounge it storage usual apartment living complete quartz there large separate utility kitchen separate washing machine there also benefit storage area entrance hall extra hanging space area ideal storage personal golf double spacious excellent wardrobe space there large master bathroom large main bathroom both complete towel rain large double size shower there wood flooring throughout apartment attractive property a rated would make truly comfortable convenient home prime location location the luxurious development set throw retail district dining st green street alike nearby walking distance away the area abundance public transport minute walk away well several bus right outside doorstep private car rental company go car city adjacent square square several idyllic walking south popular city st green well nearby canal walk one minute walk away plaza outdoor playground exercise equipment bike pristine the finer all fitted highest standard impeccable design detail finish bespoke floor ceiling quartz floor ceiling throughout light separate spacious utility separate washing machine built shelving luxurious finished sanitary ware towel high spec lighting these complete winter garden separate living space ideal office space floor ceiling right across city flooring throughout sleek light grey wood flooring excellent floor ceiling high throughout unit key of the development living space set around new central square retail space outdoor exercise equipment outdoor playground all finished highest specification most winter ideal office space exceptional city exceptionally generous storage throughout bespoke fitted floor ceiling storage quartz luxurious sanitary ware towel tenant concierge management suite parcel collection basement storage future car service future future supermarket dry cleaning service housekeeping service resident ber ber a,2,"Apartment 7, Lock House 1, Charlemont Lane, Dublin 2"
35,available immediately flexible short term long term let fully furnished sherry delighted present exquisite two double bedroom two bathroom first floor apartment extending parking lansdowne place prestigious development host the concierge service second none resident use vast range communal gym cinema treatment entertainment the complex large courtyard gorgeous water feature lift service floor more information found accommodation brief entrance hallway large storage cupboard utility area washing machine tumble large living dining kitchen space floor ceiling the property decorated extravagant the fully fitted kitchen come oven hob microwave dishwasher vast amount storage there two double fitted main bedroom main bathroom a winter garden link two open plan living space extra living area could used office area highly recommend,4,"The Barrington, Lansdowne Place, Ballsbridge, Dublin 4"
36,beautifully decorated bed apartment property popular development just walk bus train station city accommodation entrance hall cloakroom storage open plan kitchen lounge room large balcony master bedroom en suite bedroom two large main bathroom property underground parking looking park royal canal property benefit natural light well prime location just train ride hustle bustle yet still quiet peaceful suburb,15,"Apartment 138, Rathborne Court, Dublin 15, Dublin 15"
37,delighted present beautiful apartment second floor highly sought development heart short stroll st newly decorated number large sitting room wooden floor ceiling balcony there well fitted kitchen two master en suite along main bathroom both built there neat utility cupboard washer drier additional storage there secure parking basement,4,"Apartment 149, Bloomfield Park, Donnybrook, Dublin 4"
38,short term let rental term please note is for only do contact extended lease security deposit first last month rent fantastic one bed apartment close triangle full setup laundry next beechwood stop included electricity reasonable use smart meter central heating refuse collection,6,"14 Moyne Road, Dublin 6, Ranelagh, Dublin 6"
39,modern fully bedroom cottage excellently location walking distance wonderful park nearby gym bus main doorstep the cottage completely ago the kitchen fully modern there underfloor heating linked hive smart system there also wood burner stove extra comfort plenty storage space throughout house suitable small dog pet available furnished king bed double bed smart frame full piece sofa set storage furniture throughout solid oak dining table cushioned note bathroom ground floor toilet attic bedroom note please interested available st,4,"5 Pembroke Cottages, Dublin 4, Donnybrook, Dublin 4"
40,please real estate first lovely bedroom apartment park house dun the development small set behind electric the locale ideal enjoy coastal life number sailing swimming dun pier nearby included monthly rent remote electric heating parking set behind electric superb location opposite community tennis close bus dart communal refuse entrance hall fitted carpet cloakroom sitting room fitted carpet window electric fireplace dining table couch shower room sink shower kitchen storage tiled floor washing machine oven extractor fan bedroom fitted carpet window new double bed mattress bedroom fitted carpet wardrobe window new storage,0,"Flat 12, Clarinda Park House, Dun Laoghaire, Co. Dublin"
41,beautiful two bedroom corner apartment one car space popular development beacon south quarter accommodation entrance hall kitchen dining living area access large balcony master bedroom second balcony second double bedroom balcony access main bathroom the location ideal minute walk line numerous bus next m drive city town two away also wide range close include store gym pharmacy pizza hut many building high specification kitchen fully fitted oven hob extractor fan microwave washer dishwasher bedroom contemporary luxury bathroom rain shower bath gas fired central heating residential concierge reception extensive ground within development well underground car parking space beacon south quarter plaza gym beacon numerous established commercial area industrial estate close beacon hospital transport link include the stop close n m motorway shopping city,18,"104 Cubes 3, Beacon South Quarter, Sandyford, Dublin 18"
42,large bedroom x business inch free air free heating electric hot water included large room house share property agreement start small room,12,"Naas Road, Bluebell, Dublin 12"
43,rea are to present recently bed to the market fully furnished property come market excellent condition throughout accommodation briefly entrance hallway large living room left separate dining room leading kitchen rear property main bathroom upstairs large double single new highly appointment please reply by only with your mobile phone number and we will contact you to arrange a,10,"188 Landen Road, Ballyfermot, Dublin 10"
44,rea cross delighted bring brand new four bedroom three bathroom home rental market bright spacious home new development road with running along road excellent range doorstep easy access city m airport coastal perfect location highly please reply phone number contact arrange,0,Washington Green
45,only fisher property delighted introduce brand new development market bedroom fully furnished end terrace house hall lovely modern bed door house fitted highest standard directly green setting the house large double master large single room main bathroom fully furnished kitchen separate utility room downstairs bathroom link road road distributor road drive immediate surrounding area hall array local shopping public transport arrow train service frequent no bus service excellent selection sporting health fitness hall throw away train station we advise submit appointment,0,77 Castlefield Hall
46,sherry delighted present bright spacious bed apartment within close proximity golf course town village number leisure within walking distance easy access m the bus beside every half hour tastefully decorated apartment furnished high standard accommodation briefly double single bedroom master full bathroom dining area fully fitted kitchen also large bright available let fully furnished early advised,18,"Rockview, Blackglen Road, Sandyford, Dublin 18"
47,luxurious two bedroom apartment stunning sea the property exclusive gated development lodge development surrounded beach side prestigious development mature promenade walk beach directly development upon entering wide hallway large storage closet separate linen cupboard marble flooring accommodation the living room dining area laid stylish open plan layout lighting surround sound system room flooring sandstone fireplace fitted gas fire the space large glass door balcony the sunny balcony fully decked outdoor ground making ideal space relax surrounding the kitchen accessible via living room wall floor black granite along full range coffee machine both double impressive sea the master bedroom large cream inbuilt lighting the master bedroom en suite bathroom finished high standard come bath well separate shower the second bedroom equally large bright inbuilt wardrobe storage master bedroom the main bathroom impressive marble stainless steel towel rail floor heating shower there two parking apartment one surface one underground the property also concierge hour security service lodge ideally situated peninsula end road road five stroll bustling village renowned gourmet fish harbour spectacular cliff,13,"Apartment 5, Howth Lodge, Howth, Dublin 13"
48,month lease only stunning bedroom house quiet residential road accommodation entrance hallway leading bright spacious living room wooden flooring throughout double lead large open plan dining wood burning stove modern bright kitchen island large patio door lead large garden perfect outdoor dining downstairs optional th upstairs large double sized ample storage master bathroom large family sized bathroom upstairs area must see property within walking distance shopping a short drive away dun array seaside beach throw away mention many primary secondary short walk away there excellent bus service city mention dart close all wonderful house highly sought residential area short term lease,0,"31 Watson Avenue, Killiney, Co. Dublin"
49,very well modern very spacious one bedroom apartment in excellent location,9,"Johnstown House, Glasnevin, Dublin 9"
50,newly apartment fantastic location within walking distance city twitter property wonderful transformation completely space brand new bathroom kitchen herringbone wood flooring throughout cool the mature mespil estate setting many excellent within immediate reach swimming pool sauna use the canal nearby street cycle bike bus right doorstep the apartment conveniently next door hotel there great selection close the canal bank fe bar terrace parking available site permit management company,4,"Beech House, Mespil Estate, Dublin 4"
51,a flat cooker city center location near city bike collection point crossed road,1,"10 Killarney Street, Dublin 1, North Strand, Dublin 3"
52,if interested please i contact arrange elegant clean building short walk manor street a pleasant walk well connected bus red green high quality modern furnished the stylish bedroom the recently high specification each apartment living room double bed full kitchen bathroom the bedroom standard size double bed gas lift frame opening provide useful storage inside good quality orthopedic mattress drawer storage cleverly provided the living area new furniture seater sofa table the kitchen full size complete frost free freezer microwave induction hob air extract hood external recycle waste plenty storage drawer the bathroom fully tiled large shower vanity unit storage basin hot water building mirrored wall storage towel rail radiator heating gas boiler central heating you control apartment temperature wired tenant great quality service the laundry within purpose built laundry room washing machine free use secure bicycle parking provided property behind locked gate public view car parking available street application city council parking disk supply crockery cutlery bedding linen public transport link excellent directly outside a a multiple bus directly outside passing every minute day thro night red green the green station walk take north station south via green connect red walking healthy option it walk city dame street no smoking property fixed term lease extended if interested view apartment please send full some,7,"Old Cabra Road, Dublin 7"
53,beautifully bed apartment third floor accommodation brief tiled entrance hallway leading bright spacious living dining area modern kitchen leading full range quality separate utility room lovely outdoor balcony living room two large bright airy double floor ceiling fitted luxurious main bathroom bath shower underfloor heating overall comfort atmosphere property the grange extremely well known popular development ideally it also one offer hour concierge service it within walking distance industrial estate green line also within short distance village the m n the a bus route city also throw away both business within easy commute please discus provide include mobile number,18,"The Grange, Brewery Rd, Sandyford, Dublin 18"
54,if interested please i contact arrange elegant clean building manor street phoenix park short walk city center well connected bus red green high quality modern furnished the vacancy compact stylish mezzanine double bed apartment upper floor period building the apartment unique stylish bijou daylight large window front roof window overhead the ceiling high the apartment combined kitchen living room area bathroom large shower overhead mezzanine level bedroom double bed the bed area mezzanine view living area separate room the mezzanine standard size double bed black leather gas lift frame opening provide useful storage inside good quality orthopedic mattress drawer storage cleverly provided the living area kitchen lower level compact seater sofa table wardrobe shelving the kitchen full size complete freezer microwave induction hob air extractor hood recycle waste plenty storage drawer the bathroom fully tiled shower vanity unit storage basin hot water building mirrored wall storage towel rail radiator heating gas boiler central heating you control apartment heating temperature setting wired virgin medium tenant great quality service the laundry within purpose built laundry room no washing no sensor the laundry free use there clothes rear garden available also the common property fire detection alarm system emergency lighting escape secure bicycle motorcycle parking provided rear garden property behind locked public view covered direct convenient key access house back door car parking free area north circular road surrounding no city disk parking system set far tenant crockery cutlery bed linen public transport link excellent bus a the best bus route the a opposite side north circular road min walk bus route service every city passing station away going city road far dun red green the green station bus away walk apartment take north station south via green the red station walk apartment take east station south walking healthy option it city it possible walk many central station dame street no smoking property fixed term lease extended if interested view apartment please send full some,7,"48 North Circular Road, Dublin 7, North Circular Road, Dublin 7"
55,available from th the beautiful old cottage absolute prime location literally next door town it driveway shed patio garden simply charm the cottage cozy warm surrounded high away de sac giving great privacy peace it really little gem there good size double one room en suite walk wardrobe there spacious open plan kitchen dining living room open onto secure area at front cottage lovely little garden could privately enjoy sun side driveway car the property around corner every amenity could need town next bus main street like far rarely come rental market it would make really lovely home if interested please contact ad via daft,14,"Gate Lodge, Dundrum Castle, Ballinteer Road, Dundrum, Dublin 14"
56,reply arrange superbly spacious four semidetached home highly sought location college gate ideally situated within walking distance host village phoenix park primary secondary bus train link accommodation entrance hall lounge room utility room master bedroom x bathroom home front garden driveway lawn rear garden lawn,15,"College Gate, Castleknock, Dublin 15"
57,please note we taking property if would like added waiting list please apply advertisement only taking phone please leave name number address when available contact estate delighted present market fabulous two bedroom house rent heart rarely quality like come available location interested property please apply leave name number address add waiting list the property excellent condition throughout well kept there wonderful large living room fully beautiful fully fitted kitchen there also rear walled garden back property two one large double one large single addition fully fitted modern bathroom electric shower bath all fabulous property excellent condition throughout set brilliant location near heart city merchant square within walking distance square park park train station the main feature property variety doorstep it also within walking distance street convenient numerous surrounding area the area well connected excellent public transport system infrastructure for immediate please apply leave name number address get right back highly,3,"Merchant Square, East Wall, Dublin 3"
58,property delighted present formerly three apartment converted luxurious one bedroom interior designed apartment boasting unique balcony sea dun marina rental market generously proportioned light filled one bedroom unit versatile layout ideal living entertaining a large bright airy entrance hallway visual concrete impressive spacious lounge area floor ceiling glass fully fitted kitchen floor eye level well built the master bedroom generous size marina impressive wardrobe complete ample storage space fully tiled overhead rain style shower a main bathroom fully tiled complete bath overhead power shower complete accommodation a host special await throughout apartment include bespoke joinery lighting storage feature wall panelling floor electric well efficient gas fired central heating double glazing throughout making apartment unique stand rest the apartment also fully alarmed intercom system secure underground car parking available caretaker site office harbour view coast road opposite dart station adjacent dun county council st hospital dun shopping cinema yacht parade excellent local people park market every week pleasant stroll front door the within easy reach highly for occupation,0,"Apartment 90, Harbour View, Harbour Square, Dun Laoghaire, Co. Dublin"
59,duplex rent single ground floor bathroom a highly desirable location lovely property offering privacy seclusion heart june residential delighted bring single bedroom property market newly well throughout property crescent road every amenity found within walking distance excellent bus city accommodation private entrance maintenance free garden to left large brick built shed storage separately room used either home office study storage ground floor main property a small entrance hallway area fully fitted kitchen modern shower room two single please enquiry arrange no phone please,6,"29 Oaklands Crescent, Rathgar, Dublin 6"
60,in stunning unfurnished two double bed two bath property superb accommodation topnotch site location hall brand new high end high spec development road set wonderful ground development mere lovely village wealth excellent transport link city bus close addition easy access m the development tenant complete host luxury full time concierge service private club fully gym lounge accommodation entrance hall storage press plus generous utility room washing machine additional storage guest shower room wonderful southerly aspect light filled lounge dining there double leading large private balcony lounge high spec fully kitchen two double master bedroom walk wardrobe plus full bathroom bath separate waterfall shower there second private balcony bedroom in addition secure underground parking communal bike storage area unique ultra stylish property seeking complete without stress professionally let june property management no,6,"Orwell Hall, Marianella, Rathgar, Dublin 6"
61,month lease furnished high standard delightful two bedroom property prominent gated development heart boasting location second none shopping adjacent development easy access m motorway well green line ideal location parking space included must month lease only accommodation entrance hall leading super spacious wall mounted fire plasma unit balcony fully fitted high spec kitchen two generous double fitted wardrobe master bedroom shower room bathroom bath shower storage secure underground parking included for full list current available let please visit enquiry,14,"Apt. 26 The Lime, Rockfield, Dundrum, Dublin 14"
62,june residential delighted bring market part furnished beautiful one bedroom apartment highly desirable location built high specification throughout boasting large foot throughout apartment floor ceiling abundance natural light throughout situated sixth floor property large private balcony well throughout beacon south quarter array the beacon shopping easy access m motorway appointment accommodation hallway open plan kitchen area new wooden throughout fully fitted kitchen modern shower room access large balcony living bedroom area bedroom build concierge reception enquiry,18,"Apartment 613, The Cubes 3, Beacon South Quarter, Sandyford, Dublin 18"
63,only june residential delighted bring attractive spacious well two double bedroom bungalow market let part furnished lovely property grove situated behind super road the location excellent offering every amenity doorstep include shopping good transport link easy access m accommodation large front garden set grass porch leading attractive hall plenty storage two spacious double one bathroom wet room shower large lounge gas fire double lead dining room attractive kitchen fully fitted plus storage a wonderful spacious private back garden complete small brick built shed handy picture appointment please,16,"17 Knocklyon Grove, Templeogue, Knocklyon, Dublin 16"
64,on view today rental longer no text e mail on view th one bedroom apt recently short term rental optional pet friendly,1,"28 gardiner place , Dublin 1"
65,please note we taking property if would like added waiting list please apply advertisement only taking phone please leave name number address when available contact estate delighted present market fabulous three bedroom house rental market completely top bottom literally everything property brand new new heating system new new kitchen new bathroom new flooring throughout new fully fully fully externally insulated coming market stunning condition throughout the new kitchen simply fabulous contemporary design touch elegant class solid fuel fire large sitting room feature fireplace the bathroom also fitted shower modern upstairs three good sized two one single new provided new property absolute gem old bawn freshly best set quiet mature setting close host local transport link the owner property would ideally like long term tenant looking remain locality excellent property strongly advised strictly appointment to added waiting list please apply leave name number get back arrange time highly,24,"Saint Maelruan's Park, Tallaght, Dublin 24"
66,please note house tomorrow confirm attendance a great opportunity rent two bedroom mid terrace house bright spacious interior great location close host nearby road great residential location superbly retail recreational close include bright airy accommodation timber living oven washing machine gas central heating top card system off street parking driveway close many ready move circa early accommodation ground room front property drive room side property drive way kitchen area also rear property rear garden upstairs one double bedroom twin room single shower room area to front property level garden street garden laid lawn,0,"123 Oliver Plunkett Road, Monkstown, Co. Dublin"
